metric,mean,sd,cv,share,mde_abs_4w,mde_pct_4w,mde_abs_6w,mde_pct_6w,mde_abs_8w,mde_pct_8w,mde_abs_12w,mde_pct_12w,mde_abs_16w,mde_pct_16w,feasible
Cigarette,393.93590659340657,74.58646763134234,0.189336555472526,0.035454389336218486,78.97958674851763,20.048841810714883,64.48656254324939,16.369810790009545,55.847001365188014,14.176671999292878,45.59888566974205,11.575204216356461,39.48979337425882,10.024420905357442,False
Beer,266.58497252747253,72.27865389650083,0.27112801299800293,0.023992754275454806,76.53584352191464,28.709736635296405,62.49125455406275,23.441401802054994,54.11901395817834,20.300849460897943,44.18798986003249,16.575574174751637,38.26792176095732,14.354868317648203,False
Soda,224.60576923076928,47.33840492030112,0.21076219494461731,0.020214609169119647,50.126621848066854,22.31760208998224,40.92821535240364,18.222245800975973,35.444874226741824,15.780927777649508,28.940618617547976,12.885073574318202,25.063310924033427,11.15880104499112,False
Sales Taxable,422.5833791208792,109.39067315795043,0.25886175027877617,0.03803267333492986,115.8337488625964,27.410862467797713,94.57785990235085,22.380875485236967,81.90682931100146,19.382406729151587,66.87664608706355,15.825668824502822,57.9168744312982,13.705431233898857,False
Sales Non-Tax,61.621401098901096,41.706559630510554,0.6768193985653195,0.0055459507738112035,44.1630626697752,71.66838449339116,36.05898967316835,58.516990899467544,31.228001091764522,50.6772006719617,25.49755612063303,41.37776107964499,22.0815313348876,35.83419224669558,False
Fountain/Coffee,21.83151098901099,13.176261176531277,0.6035432537474671,0.0019648447309506645,13.952338750731746,63.90917585940218,11.392036885917895,52.18162357911066,9.865793344054262,45.19061163022689,8.05538653355982,36.897979886112985,6.976169375365873,31.95458792970109,False
Autoparts,6.732747252747253,11.695830465727958,1.737155729550898,0.0006059499487251153,12.384711143979029,183.94736470948808,10.112074304836383,150.19239435596245,8.757313232944176,130.07042896747404,7.15031631281205,106.2020605317452,6.1923555719895145,91.97368235474404,False
Cigarette Carton,0.2801373626373626,4.735829869630272,16.90538464789074,2.5212474812096035e-05,5.014768736111996,1790.1106403302606,4.094541527178699,1461.6192173120003,3.5459769793870852,1265.7993728517201,2.8952780797179805,1033.5208600738893,2.507384368055998,895.0553201651303,False
Tobacco,182.063489010989,58.33210758103644,0.3203943190252474,0.01638578691423601,61.76785008363074,33.92654420673139,50.43323840454086,27.70090734748954,43.676465653449355,23.98968947080495,35.66168487304865,19.587499430430107,30.88392504181537,16.963272103365696,False
inside_merch,1580.2393131868132,226.7230393321107,0.14347386338268364,0.14222217095825787,240.07695392311936,15.192442810384497,196.0220120377702,12.404577610618956,169.76004212564803,10.742679334011688,138.60849397373835,8.771360946223485,120.03847696155968,7.5962214051922485,True
