effect,p_value
14.356428571428523,0.7575377923109752
27.495357142857074,0.7744483066085094
24.5278571428571,0.8838531030164788
-85.46178571428572,0.3390749765565789
-75.35714285714266,0.1255001170653544
-50.15142857142837,0.2173629346897174
-35.75250000000028,0.2318857874513048
41.916785714285425,0.4520849759223771
23.154642857143017,0.7682289368081369
-142.4475,0.49624167789610546
-76.08857142857141,0.13493552342410536
-181.90678571428566,0.029079467442578437
-7.685357142856901,0.9133139444722047
91.27285714285722,0.34683777129006627
42.26178571428591,0.33735703608843737
68.86535714285719,0.08171440286884495
76.44285714285706,0.3901962986456755
106.34571428571417,0.26446404809089485
29.885714285714585,0.562257780030247
106.34178571428583,0.11653839010822639
-267.1671428571426,0.3981366819671944
16.38178571428557,0.8646812034075012
-110.4192857142857,0.359175825695228
-6.586785714285725,0.9101549605612762
-87.74678571428603,0.4283702344037277
-158.26178571428545,0.0678188103116618
-7.898928571428769,0.9387961069788716
9.744642857142708,0.873671643109366
187.3242857142859,0.24543170806758022
-17.29142857142847,0.775644006216677
-88.10821428571421,0.31796392037900245
-32.01142857142872,0.3858114252046977
-43.715357142856874,0.5513284798682531
76.90857142857158,0.3079851414456359
25.816071428571377,0.7875956054322943
-63.71499999999969,0.11577316350498809
37.26821428571429,0.6666800016669524
-51.0346428571429,0.5921909600115821
41.014285714285734,0.7481437330486228
83.73821428571432,0.2956091363337331
10.992142857143108,0.8712860323929119
-43.89964285714291,0.6797614203585166
231.8532142857141,0.41890864275103273
12.287142857142726,0.7917380192400003
-85.0507142857141,0.3771636330477741
12.747499999999945,0.8521424662295959
-66.94392857142861,0.1358442312348462
-114.74571428571426,0.14441275958427993
-121.31857142857166,0.20018995505895096
33.877500000000055,0.5204031925531548
56.38499999999999,0.24837284264852355
-33.10928571428576,0.7031662920471483
51.17571428571432,0.4003975065915814
75.22571428571405,0.503678994132492
-72.97750000000019,0.4782817700547798
-4.3660714285715585,0.9551206498580324
-52.12785714285701,0.37427461555329444
-49.74749999999972,0.3320566067724336
32.03500000000031,0.6267636801079391
-56.78071428571434,0.5814432904033364
31.216428571428423,0.672923335751698
-70.17821428571415,0.31689595117126207
77.63392857142867,0.2112240685673434
38.33999999999992,0.6143145035443196
-42.429999999999836,0.5714485782218026
-11.366428571428742,0.8546897395990668
91.99392857142834,0.386767513399961
179.7885714285717,0.053255418766848125
19.99392857142857,0.779946725136099
-2.9224999999999,0.9332386210894228
-168.7064285714289,0.12355068125880722
-7.690714285714421,0.9327850136237548
57.728928571428696,0.5560781193602737
11.221071428571577,0.888759151159129
-33.083571428571304,0.4924985784893276
4.192857142857292,0.9193159558238901
-47.414999999999964,0.37223637886601196
24.55178571428587,0.7493197007875559
48.40178571428555,0.6668779147531345
39.098571428571404,0.6338248202594129
211.2285714285715,0.4842654968715016
42.03857142857123,0.4795600059648388
279.5510714285715,0.4146076103557423
-50.39535714285739,0.3750800255992031
-14.74285714285702,0.909589826513394
-19.50857142857126,0.8582793034372097
-21.083928571428714,0.7148733719167676
-60.95678571428584,0.2754143146884533
-69.90999999999985,0.3653399670941069
-12.409642857142899,0.8057987834117469
-32.753214285713966,0.6902025236845459
-5.385357142857401,0.9012035094902351
200.44535714285712,0.19546566515870004
-102.90464285714279,0.5077446609379865
-66.8614285714284,0.444288134439244
10.161785714285998,0.8516839032942741
175.09678571428572,0.14495630874741036
36.01428571428596,0.4986205673634095
-60.450357142857,0.35881839163686263
-120.33249999999998,0.10197418763344548
10.038214285714275,0.8027753212249888
-6.562857142857183,0.944102186235765
-112.61749999999984,0.47007265834459533
25.683214285714257,0.5645778922383756
8.776785714285552,0.865395392117744
50.33892857142882,0.38913980457527336
-179.7367857142856,0.0030709116842387906
115.64035714285683,0.16461315355721376
49.77285714285699,0.3330364027890576
26.948571428571313,0.6495398476793929
-77.11714285714311,0.39369377476356365
