effect,p_value,stopped_early,stop_day
6.551428571428232,0.9071194792633457,False,56
41.066071428571604,0.6085401259163882,False,56
-64.00392857142833,0.342627652289203,False,56
-40.10714285714289,0.7121566693481324,False,56
-174.85539393939348,0.030161761702486932,True,26
-88.17321428571404,0.18179305739100426,False,56
-494.4681249999999,0.04741674522997235,True,32
-0.10892857142857792,0.9987988019391059,False,56
-3.185357142856901,0.9633863855169629,False,56
-10.949642857142635,0.8659626489612076,False,56
245.5150000000001,0.03643216210519619,True,8
-45.74821428571431,0.7636914042559301,False,56
-257.9457142857143,0.09515751767405388,False,56
-19.613214285713866,0.8996323667966667,False,56
20.07142857142867,0.7573032831677193,False,56
-30.10607142857134,0.7125873841613217,False,56
11.696071428571486,0.8306391930933545,False,56
-37.323928571428496,0.6694102597530046,False,56
17.8496428571425,0.779514986668818,False,56
-298.6600000000003,0.028304177886072118,True,7
-92.0692857142858,0.2108453949993437,False,56
78.64607142857176,0.24503479656694283,False,56
-88.7439285714288,0.5586058421070501,False,56
246.90399999999977,0.030587356379823804,True,9
-8.29071428571433,0.9108622027154553,False,56
-44.17142857142926,0.5249264352280579,False,56
4.307142857142708,0.9536200395421818,False,56
38.29142857142847,0.5074750125374341,False,56
8.45928571428567,0.8976291973743661,False,56
-59.739642857142144,0.2826642812569189,False,56
39.73178571428548,0.5272849775556284,False,56
-67.1457142857139,0.3311210824195672,False,56
240.63625000000002,0.04668162552893796,True,49
-207.20444444444433,0.03780172305217966,True,20
-91.94678571428608,0.20063086839699415,False,56
16.70642857142866,0.8227332618154815,False,56
8.926428571428687,0.8995965885054658,False,56
70.38714285714263,0.4631783445007655,False,56
14.842857142856928,0.853334419668646,False,56
71.99464285714294,0.3817414782512355,False,56
-163.86391812865486,0.03872220179841689,True,37
-16.635000000000673,0.7260035201974904,False,56
-50.02107142857108,0.496672011922723,False,56
7.30571428571443,0.9062247265926691,False,56
100.35821428571512,0.15640619611465104,False,56
-54.05035714285668,0.4669593207105207,False,56
-34.743928571428114,0.5467395793494437,False,56
-29.7800000000002,0.5947634714989473,False,56
-33.71928571428589,0.6109481810142086,False,56
45.048571428570995,0.44324297131592294,False,56
-152.39625000000024,0.04025774312923312,True,28
-31.59464285714307,0.5395963892552893,False,56
17.877500000000282,0.8113788603532293,False,56
-49.668214285714384,0.4849143701157115,False,56
-43.4457142857143,0.4439693826979572,False,56
-27.09035714285733,0.6598297443868568,False,56
227.8125,0.03523365474318937,True,8
-2.1678571428567466,0.9818387093353362,False,56
-28.342500000000427,0.7045607940685308,False,56
111.54611111111149,0.03215812461512973,True,30
202.00857142857126,0.18623628123833239,False,56
180.40656410256406,0.044553281099915104,True,28
298.5864423076928,0.04644141205762987,True,29
-24.393214285714294,0.608719007033749,False,56
1.9303571428570194,0.9730811613590613,False,56
121.32214285714258,0.06835439620828145,False,56
-73.80250000000046,0.2881263470367205,False,56
-1.5274999999999181,0.9823011908401514,False,56
-314.5588095238088,0.03880161983133471,True,13
-43.988928571428914,0.5575678033552385,False,56
245.58888888888873,0.03315570340104587,True,16
-193.39592941176488,0.04523743118042588,True,42
93.00464285714315,0.12612289714372354,False,56
-44.28392857142876,0.4386021762665566,False,56
73.84357142857152,0.4624383943414279,False,56
28.138571428571368,0.8539120238721097,False,56
509.71386363636384,0.04327063265881986,True,15
-223.41392857142887,0.1474959327812648,False,56
52.86750000000029,0.48768255945013517,False,56
-105.51964285714303,0.08334579556892167,False,56
73.19107142857092,0.33057670209539425,False,56
-215.91713043478262,0.04860048220272215,True,48
67.03999999999996,0.29823149000506655,False,56
9.325000000000273,0.8822577750208881,False,56
41.77999999999952,0.4241737411240961,False,56
-112.26892857142843,0.24889675610403578,False,56
19.809999999999945,0.7781726492117238,False,56
27.101428571428414,0.7098003015129281,False,56
49.88892857142855,0.7470050505704439,False,56
-1.4924999999998363,0.9761639764779662,False,56
16.2303571428572,0.7597783127386515,False,56
-4.209642857142853,0.9541395817501648,False,56
-69.22678571428537,0.3019310315307718,False,56
-28.418571428571113,0.6565222021756654,False,56
-25.565357142857238,0.7312463256144807,False,56
49.32571428571464,0.38356740899784314,False,56
-211.67329670329673,0.032872643581065134,True,27
-122.96392857142928,0.09492875592179188,False,56
177.75981818181822,0.04374317538700522,True,16
73.27249999999935,0.6349710233321473,False,56
288.79539682539644,0.04761882518677425,True,16
55.00107142857132,0.5780425724120434,False,56
-122.51964285714257,0.11743018687191802,False,56
68.6242857142854,0.20270261814418888,False,56
-25.926785714285415,0.588936468338834,False,56
-148.377303703704,0.04543909980578495,True,52
9.718214285714112,0.8774055917317342,False,56
269.91499999999974,0.02640630684139027,True,9
-40.79000000000019,0.5727009579253501,False,56
501.1924999999999,0.03700159894806301,True,8
35.682857142857074,0.5851712675480705,False,56
-29.578928571428378,0.618968974193697,False,56
-227.27660714285753,0.04006694825382726,True,30
164.04583333333335,0.04039033630940006,True,46
-7.79071428571433,0.8926401130280717,False,56
-334.7266666666669,0.037047708448371804,True,10
-96.11750000000029,0.24655000460256704,False,56
117.91392857142841,0.08527063456141465,False,56
79.23892857142846,0.6056586781244289,False,56
-27.148214285714403,0.7077083571788961,False,56
216.52821428571383,0.15707424175423942,False,56
33.98678571428559,0.6143080822880211,False,56
3.0632142857145936,0.9602269574534537,False,56
-83.24571428571426,0.4320423246198345,False,56
-62.215357142857556,0.6819922263455495,False,56
-69.41035714285681,0.16006216215228897,False,56
20.24142857142874,0.6717607715272865,False,56
74.98178571428593,0.2856342168515702,False,56
10.353571428571286,0.8670649799401164,False,56
60.100714285714275,0.37990439944648996,False,56
54.387500000000045,0.6201102701881392,False,56
-99.54035714285737,0.15462815594539303,False,56
-38.47499999999991,0.4893813481977081,False,56
-27.20964285714308,0.7005441916234821,False,56
16.225000000000364,0.8146867519790517,False,56
67.42821428571415,0.33464117964467077,False,56
-11.447499999999309,0.8648809255871466,False,56
58.26999999999998,0.35148576977434776,False,56
18.235714285714266,0.8688026864989096,False,56
-107.81571428571465,0.11472050050940719,False,56
42.61392857142869,0.5020335692074184,False,56
302.4890909090909,0.035313364466230394,True,23
-30.690000000000282,0.5198361777430502,False,56
-193.16285714285732,0.04338324220778363,True,12
41.36821428571352,0.5712494257828028,False,56
67.13892857142878,0.35820226835948094,False,56
-3.049642857142544,0.9542024034775143,False,56
18.978571428571513,0.7560596949725602,False,56
-188.04008928571443,0.03967469835617199,True,30
-553.7124999999999,0.02107160808428675,True,8
157.88277777777785,0.04888523779731297,True,37
-390.8937500000002,0.04204396993994941,True,12
251.44523809523844,0.04966453410674528,True,16
-5.461785714285497,0.9184963958987441,False,56
-73.44964285714286,0.2375309097247071,False,56
209.05214285714283,0.04902737682244885,True,9
-230.85500000000002,0.032066365954953296,True,12
35.953571428571195,0.5796494286272935,False,56
-266.7658333333334,0.03622189527336734,True,10
51.760714285713675,0.538946028406043,False,56
28.938571428571322,0.6951839518993412,False,56
-28.08785714285682,0.5707461008827935,False,56
-681.0,0.04669586946030237,True,7
-7.027499999999691,0.9099066620991763,False,56
-319.222,0.03992549169975746,True,10
-186.71833333333325,0.03597413704605912,True,8
82.44607142857103,0.2662933476666543,False,56
176.01047846889992,0.04633536035601995,True,41
157.7696428571419,0.3099225006945536,False,56
57.114999999999554,0.3283630067222106,False,56
-178.7562499999999,0.045900062260076674,True,44
135.3760714285711,0.3751274704583231,False,56
42.10571428571416,0.5059660564573332,False,56
-13.689285714285461,0.8022928666433737,False,56
