MAE,RMSE,MAPE,sMAPE,MASE,fold,origin,model
1997.8176666666657,2203.5569122224483,20.02358710226078,17.769997688908852,1.0939158006711676,1,2025-07-04,Naive (last value)
1575.783,1855.8678750897113,14.849794981072586,14.524926503077316,0.862828450708973,1,2025-07-04,Seasonal naive (t-7)
1456.6009999999999,1784.3569277184058,13.743092573119922,13.753290227669702,0.7975697060643125,1,2025-07-04,Seasonal naive (t-364)
1057.5908333333334,1282.5784418514056,10.418957703938434,9.821889944691973,0.5790895448224862,1,2025-07-04,Day-of-week mean (8w)
808.5641203571872,1089.004172013914,8.038533772305815,7.688441266755559,0.44273362973623615,1,2025-07-04,Random Forest
902.705375262278,1117.0795961456486,8.790349126289069,8.465598819276336,0.4942811798224841,1,2025-07-04,LightGBM
865.6543243568999,1130.3125993078056,8.659684583785458,8.163406125627938,0.4739936777680599,1,2025-07-04,"SARIMA(1,1,1)(1,1,1,7)"
1171.627666666667,1443.5729446608048,10.835742678031043,10.858944100507832,0.6484780046248294,2,2025-08-03,Naive (last value)
1900.0516666666667,2186.142540338271,17.239620689586808,17.765366737224948,1.0516495543243527,2,2025-08-03,Seasonal naive (t-7)
1109.8570000000002,1342.3392478915305,10.279221197694529,10.592799292661415,0.6142888848182707,2,2025-08-03,Seasonal naive (t-364)
1005.8948333333334,1321.3016121133091,9.465596234977928,9.364687005327168,0.5567474146784618,2,2025-08-03,Day-of-week mean (8w)
1019.9776700982513,1286.9048553513057,9.650647093620575,9.38655169429882,0.5645420495651176,2,2025-08-03,Random Forest
1012.5289349817795,1241.6907276567485,9.74829693933209,9.363959713547567,0.5604192885355398,2,2025-08-03,LightGBM
1074.952933201135,1325.9096657022185,9.89974464101258,9.99444704022882,0.5949700173700343,2,2025-08-03,"SARIMA(1,1,1)(1,1,1,7)"
1347.8440000000003,1578.299029765906,12.621050179032553,12.12417152300646,0.748795202267201,3,2025-09-02,Naive (last value)
1354.3633333333335,1575.9296459656227,12.426189754649924,12.319239829485017,0.75241702016451,3,2025-09-02,Seasonal naive (t-7)
